crash_unit_id,crash_record_id,crash_date_left,unit_no,unit_type,num_passengers,vehicle_id,cmrc_veh_i,make,model,lic_plate_state,vehicle_year,vehicle_defect,vehicle_type,vehicle_use,travel_direction,maneuver,towed_i,fire_i,occupant_cnt,towed_by,towed_to,area_00_i,area_01_i,area_02_i,area_03_i,area_04_i,area_05_i,area_06_i,area_07_i,area_08_i,area_09_i,area_10_i,area_11_i,area_12_i,area_99_i,first_contact_point,cmv_id,usdot_no,commercial_src,gvwr,carrier_name,carrier_state,carrier_city,hazmat_placards_i,hazmat_present_i,hazmat_report_i,mcs_report_i,hazmat_vio_cause_crash_i,mcs_vio_cause_crash_i,idot_permit_no,trailer1_width,trailer2_width,trailer1_length,axle_cnt,vehicle_config,cargo_body_type,load_type,hazmat_out_of_service_i,mcs_out_of_service_i,hazmat_class,crash_date_est_i,crash_date_right,posted_speed_limit,traffic_control_device,device_condition,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,report_type,crash_type,intersection_related_i,private_property_i,hit_and_run_i,damage,date_police_notified,prim_contributory_cause,sec_contributory_cause,street_no,street_direction,street_name,beat_of_occurrence,photos_taken_i,statements_taken_i,dooring_i,work_zone_i,work_zone_type,workers_present_i,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,injuries_unknown,crash_hour,crash_day_of_week,crash_month,latitude,longitude,location
2066655,97c614494d35b5f08d7bbb7b60677f48bc54274f785ef7513c710b8c922c6e723b04fb244b4aed11ce9c93eb8183c8f79d1e796f02517451b03edb03418f0bd5,2025-05-20T01:25:00.000,1,DRIVER,,1970063.0,,FORD,ESCAPE,IL,2022.0,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,,,1.0,,,,,,,,,,,,Y,Y,Y,,,SIDE-LEFT-FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-20T01:25:00.000,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",2025-05-20T01:25:00.000,DISREGARDING TRAFFIC SIGNALS,FAILING TO YIELD RIGHT-OF-WAY,7900,S,COTTAGE GROVE AVE,624,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,3,5,41.7511943382,-87.6053673263,POINT (-87.60536732633 41.751194338222)
2066656,97c614494d35b5f08d7bbb7b60677f48bc54274f785ef7513c710b8c922c6e723b04fb244b4aed11ce9c93eb8183c8f79d1e796f02517451b03edb03418f0bd5,2025-05-20T01:25:00.000,2,DRIVER,,1970064.0,,MAZDA,CX-5,IL,2021.0,UNKNOWN,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,,,1.0,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-20T01:25:00.000,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",2025-05-20T01:25:00.000,DISREGARDING TRAFFIC SIGNALS,FAILING TO YIELD RIGHT-OF-WAY,7900,S,COTTAGE GROVE AVE,624,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,3,5,41.7511943382,-87.6053673263,POINT (-87.60536732633 41.751194338222)
2066646,07d21222e2fff6f7c364670df3f1826133df6ef9529d9b73beebe814dd20255835a38c7eb868f58fa30f067aac44ed8c815f6958a89f29a6be6d8c8031b29541,2025-05-19T23:55:00.000,1,DRIVER,,1970055.0,,TOYOTA,VENZA,IL,2010.0,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,Y,,1.0,unknown,unknown,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T23:55:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2025-05-19T23:58:00.000,EQUIPMENT - VEHICLE CONDITION,FAILING TO REDUCE SPEED TO AVOID CRASH,3926,N,ASHLAND AVE,1922,,,,,,,3,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23,2,5,41.953266291,-87.6691667928,POINT (-87.669166792768 41.953266291)
2066647,07d21222e2fff6f7c364670df3f1826133df6ef9529d9b73beebe814dd20255835a38c7eb868f58fa30f067aac44ed8c815f6958a89f29a6be6d8c8031b29541,2025-05-19T23:55:00.000,2,PARKED,,1970057.0,,TOYOTA,FJ CRUISER,IL,2010.0,OTHER,SPORT UTILITY VEHICLE (SUV),PERSONAL,S,PARKED,Y,,0.0,unknown,unknown,,,,,,,,Y,Y,Y,Y,Y,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T23:55:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2025-05-19T23:58:00.000,EQUIPMENT - VEHICLE CONDITION,FAILING TO REDUCE SPEED TO AVOID CRASH,3926,N,ASHLAND AVE,1922,,,,,,,3,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23,2,5,41.953266291,-87.6691667928,POINT (-87.669166792768 41.953266291)
2066648,07d21222e2fff6f7c364670df3f1826133df6ef9529d9b73beebe814dd20255835a38c7eb868f58fa30f067aac44ed8c815f6958a89f29a6be6d8c8031b29541,2025-05-19T23:55:00.000,3,PARKED,,1970060.0,,KIA,FORTE,IL,2010.0,UNKNOWN,PASSENGER,PERSONAL,S,PARKED,Y,,0.0,unknown,unknown,,,,,,,,Y,Y,Y,Y,Y,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T23:55:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",2025-05-19T23:58:00.000,EQUIPMENT - VEHICLE CONDITION,FAILING TO REDUCE SPEED TO AVOID CRASH,3926,N,ASHLAND AVE,1922,,,,,,,3,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23,2,5,41.953266291,-87.6691667928,POINT (-87.669166792768 41.953266291)
2066639,9d118f8c152629c8d4c93371ec80a44ead26144b8850391103e0566044084394abbf73338a3ebc2abb1370d923bab03af80ad4cb2bcbf6d9314a70663cb81ae8,2025-05-19T23:15:00.000,1,DRIVER,,1970045.0,,FORD,EDGE,IL,2013.0,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,,,1.0,,,,Y,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T23:15:00.000,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,N,"$501 - $1,500",2025-05-19T23:23:00.000,FOLLOWING TOO CLOSELY,PHYSICAL CONDITION OF DRIVER,9500,S,STONY ISLAND AVE,511,,,,,,,2,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,1.0,0.0,23,2,5,41.722257273,-87.5852755651,POINT (-87.585275565077 41.722257273006)
2066640,9d118f8c152629c8d4c93371ec80a44ead26144b8850391103e0566044084394abbf73338a3ebc2abb1370d923bab03af80ad4cb2bcbf6d9314a70663cb81ae8,2025-05-19T23:15:00.000,2,DRIVER,1.0,1970047.0,,MERCEDES-BENZ,S-CLASS,IL,2016.0,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,,,2.0,,,,,,,,Y,Y,Y,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T23:15:00.000,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,N,"$501 - $1,500",2025-05-19T23:23:00.000,FOLLOWING TOO CLOSELY,PHYSICAL CONDITION OF DRIVER,9500,S,STONY ISLAND AVE,511,,,,,,,2,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,1.0,0.0,23,2,5,41.722257273,-87.5852755651,POINT (-87.585275565077 41.722257273006)
2066629,08d6553c060da826477340087e93e129058d563e55c64e357bf621c76bdfb8d3bb36d25b4d2eb4e13dbe8de145f31a80e02fc52e346e0cfb317d699fd9826caa,2025-05-19T22:55:00.000,1,DRIVER,,1970037.0,,NISSAN,OTHER (EXPLAIN IN NARRATIVE),IL,2013.0,NONE,PASSENGER,UNKNOWN/NA,S,BACKING,,,1.0,,,,,,,,,N,,,,,,,Y,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:55:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,2025-05-19T23:10:00.000,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1960,N,WESTERN AVE,1434,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,2,5,41.9175275852,-87.687555983,POINT (-87.687555982958 41.917527585224)
2066630,08d6553c060da826477340087e93e129058d563e55c64e357bf621c76bdfb8d3bb36d25b4d2eb4e13dbe8de145f31a80e02fc52e346e0cfb317d699fd9826caa,2025-05-19T22:55:00.000,2,PARKED,,1970040.0,,KIA,FORTE,IL,2021.0,NONE,PASSENGER,NOT IN USE,S,PARKED,,,0.0,,,Y,,,,,,,,,,,,,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:55:00.000,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,2025-05-19T23:10:00.000,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1960,N,WESTERN AVE,1434,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,2,5,41.9175275852,-87.687555983,POINT (-87.687555982958 41.917527585224)
2066650,744e43270353f6103e28c4e04cf1c4a0fbbe48c5514a5060ba688a61445e90bce65b412366e69e3456a2b3b36a0005eadfc0ba770f606c4327bf7ebd6920acae,2025-05-19T22:42:00.000,1,DRIVER,,1970056.0,,HONDA,CR-V,IL,2019.0,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,,,1.0,,,,Y,,,,,,,,,,,,,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:42:00.000,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",2025-05-19T22:42:00.000,DISREGARDING STOP SIGN,UNABLE TO DETERMINE,2640,N,NARRAGANSETT AVE,2512,,,,,,,2,NONINCAPACITATING INJURY,2.0,0.0,0.0,2.0,0.0,2.0,0.0,22,2,5,41.9285627311,-87.7857711641,POINT (-87.785771164063 41.928562731072)
2066651,744e43270353f6103e28c4e04cf1c4a0fbbe48c5514a5060ba688a61445e90bce65b412366e69e3456a2b3b36a0005eadfc0ba770f606c4327bf7ebd6920acae,2025-05-19T22:42:00.000,2,DRIVER,2.0,1970058.0,,BMW,OTHER (EXPLAIN IN NARRATIVE),IL,2015.0,UNKNOWN,PASSENGER,PERSONAL,S,OTHER,,,3.0,,,,,,,,,,,,,,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-19T22:42:00.000,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",2025-05-19T22:42:00.000,DISREGARDING STOP SIGN,UNABLE TO DETERMINE,2640,N,NARRAGANSETT AVE,2512,,,,,,,2,NONINCAPACITATING INJURY,2.0,0.0,0.0,2.0,0.0,2.0,0.0,22,2,5,41.9285627311,-87.7857711641,POINT (-87.785771164063 41.928562731072)
